"created_date","complaint_type","descriptor","borough","latitude","longitude","street_name"
"2025-10-11T01:36:09.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.82397400846211","-73.95055013833444","WEST  142 STREET"
"2025-10-11T01:35:49.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.819248599431575","-73.95292733486443","WEST  135 STREET"
"2025-10-11T01:34:38.000","Illegal Parking","Blocked Hydrant","MANHATTAN","40.787913129558135","-73.97344313138146","WEST   87 STREET"
"2025-10-11T01:31:24.000","Drinking","In Public","MANHATTAN","40.819248599431575","-73.95292733486443","WEST  135 STREET"
"2025-10-11T01:31:07.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.72436999250969","-73.97551766694457","AVENUE D"
"2025-10-11T01:30:42.000","Lost Property","Other","MANHATTAN","40.71843019177559","-74.00053029504515","CANAL STREET"
"2025-10-11T01:30:31.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.824600320883576","-73.95177093639812","BROADWAY"
"2025-10-11T01:30:27.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.73020794704027","-74.00032111973253","MAC DOUGAL STREET"
"2025-10-11T01:30:25.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.819248599431575","-73.95292733486443","WEST  135 STREET"
"2025-10-11T01:29:47.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.80353982047719","-73.95116492130215","WEST  117 STREET"
"2025-10-11T01:29:21.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.8156185820437","-73.94348264472475","ADAM CLAYTON POWELL BOULEVARD"
"2025-10-11T01:29:14.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.79376315335256","-73.94518056141217","LEXINGTON AVENUE"
"2025-10-11T01:29:10.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.85280523697625","-73.9354877787636","BENNETT AVENUE"
"2025-10-11T01:28:46.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.72825694166462","-73.97734187751063","EAST   13 STREET"
"2025-10-11T01:27:36.000","Drinking","In Public","MANHATTAN","40.819248599431575","-73.95292733486443","WEST  135 STREET"
"2025-10-11T01:27:03.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.85280523697625","-73.9354877787636","BENNETT AVENUE"
"2025-10-11T01:25:20.000","Noise - Residential","Banging/Pounding","MANHATTAN","40.821667450043606","-73.95481163398917","WEST  137 STREET"
"2025-10-11T01:25:04.000","Homeless Person Assistance","Chronic","MANHATTAN","40.71307226273342","-73.99397965111204","HENRY STREET"
"2025-10-11T01:25:01.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.80921012574268","-73.94444897698096","LENOX AVENUE"
"2025-10-11T01:24:57.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.819248599431575","-73.95292733486443","WEST  135 STREET"
"2025-10-11T01:23:19.000","Noise - Residential","Banging/Pounding","MANHATTAN","40.804110483039274","-73.95748566590873","MANHATTAN AVENUE"
"2025-10-11T01:20:56.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.824009747019225","-73.950683799198","WEST  142 STREET"
"2025-10-11T01:20:46.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.76149511616247","-73.9637036436473","2 AVENUE"
"2025-10-11T01:19:10.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.72436999250969","-73.97551766694457","AVENUE D"
"2025-10-11T01:17:56.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.72273076138969","-73.98960987560176","ELDRIDGE STREET"
"2025-10-11T01:17:27.000","Obstruction","Merchandise","MANHATTAN","40.80235883795086","-73.94942480453088","LENOX AVENUE"
"2025-10-11T01:16:48.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.72825694166462","-73.97734187751063","EAST   13 STREET"
"2025-10-11T01:16:27.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.82124873464926","-73.94499894602534","EDGECOMBE AVENUE"
"2025-10-11T01:15:49.000","Noise - Residential","Banging/Pounding","MANHATTAN","40.76884238563261","-73.98793116831875","WEST   57 STREET"
"2025-10-11T01:14:09.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.755894308534515","-73.96779262516762","2 AVENUE"
"2025-10-11T01:14:05.000","Noise - Vehicle","Car/Truck Music","MANHATTAN","40.86010355018393","-73.93100516216545","BROADWAY"
"2025-10-11T01:14:02.000","Noise - Residential","Banging/Pounding","MANHATTAN","40.78730158907456","-73.95701972329184","EAST DRIVE"
"2025-10-11T01:13:25.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.76850194990441","-73.9871189436622","WEST   57 STREET"
"2025-10-11T01:13:09.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.776679825509554","-73.9510438059397","EAST   85 STREET"
"2025-10-11T01:12:46.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.86158520440267","-73.93020104716814","BROADWAY"
"2025-10-11T01:10:07.000","Lost Property","Bag/Wallet","MANHATTAN","40.76359357666655","-73.98143430748802","7 AVENUE"
"2025-10-11T01:10:01.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.8156185820437","-73.94348264472475","7 AVENUE"
"2025-10-11T01:09:34.000","Noise - Residential","Banging/Pounding","MANHATTAN","40.78817562887311","-73.94113336305308","1 AVENUE"
"2025-10-11T01:09:07.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.72825694166462","-73.97734187751063","EAST   13 STREET"
