grid_id,grid_lat,grid_lon,hour,day_of_week,complaint_count,high_congestion,is_weekend,is_rush_hour,month
40.69_-74.02,40.69,-74.02,10,0,1,0,0,0,1
40.71_-73.98,40.71,-73.98,0,5,1,0,1,0,1
40.71_-73.98,40.71,-73.98,1,0,1,0,0,0,1
40.71_-73.98,40.71,-73.98,1,1,1,0,0,0,1
40.71_-73.98,40.71,-73.98,1,2,1,0,0,0,1
40.71_-73.98,40.71,-73.98,1,5,1,0,1,0,1
40.71_-73.98,40.71,-73.98,2,1,1,0,0,0,1
40.71_-73.98,40.71,-73.98,2,2,1,0,0,0,1
40.71_-73.98,40.71,-73.98,3,0,1,0,0,0,1
40.71_-73.98,40.71,-73.98,5,1,1,0,0,0,1
40.71_-73.98,40.71,-73.98,6,0,1,0,0,0,1
40.71_-73.98,40.71,-73.98,6,3,1,0,0,0,1
40.71_-73.98,40.71,-73.98,6,5,1,0,1,0,1
40.71_-73.98,40.71,-73.98,6,6,1,0,1,0,1
40.71_-73.98,40.71,-73.98,7,0,1,0,0,1,1
40.71_-73.98,40.71,-73.98,7,2,2,0,0,1,1
40.71_-73.98,40.71,-73.98,7,3,2,0,0,1,1
40.71_-73.98,40.71,-73.98,7,4,3,0,0,1,1
40.71_-73.98,40.71,-73.98,7,5,1,0,1,1,1
40.71_-73.98,40.71,-73.98,7,6,1,0,1,1,1
40.71_-73.98,40.71,-73.98,8,0,2,0,0,1,1
40.71_-73.98,40.71,-73.98,8,1,1,0,0,1,1
40.71_-73.98,40.71,-73.98,8,2,2,0,0,1,1
40.71_-73.98,40.71,-73.98,8,3,2,0,0,1,1
40.71_-73.98,40.71,-73.98,8,4,5,0,0,1,1
40.71_-73.98,40.71,-73.98,8,5,2,0,1,1,1
40.71_-73.98,40.71,-73.98,9,1,3,0,0,1,1
40.71_-73.98,40.71,-73.98,9,2,2,0,0,1,1
40.71_-73.98,40.71,-73.98,9,3,6,0,0,1,1
40.71_-73.98,40.71,-73.98,9,4,6,0,0,1,1
40.71_-73.98,40.71,-73.98,9,6,4,0,1,1,1
40.71_-73.98,40.71,-73.98,10,0,1,0,0,0,1
40.71_-73.98,40.71,-73.98,10,1,1,0,0,0,1
40.71_-73.98,40.71,-73.98,10,4,1,0,0,0,1
40.71_-73.98,40.71,-73.98,10,5,1,0,1,0,1
40.71_-73.98,40.71,-73.98,10,6,1,0,1,0,1
40.71_-73.98,40.71,-73.98,11,0,4,0,0,0,1
40.71_-73.98,40.71,-73.98,11,1,8,0,0,0,1
40.71_-73.98,40.71,-73.98,11,2,1,0,0,0,1
40.71_-73.98,40.71,-73.98,11,3,5,0,0,0,1
40.71_-73.98,40.71,-73.98,11,4,2,0,0,0,1
