date,temp_high,temp_low,precipitation,snowfall,precip_hours
2023-01-01,52.7,40.5,0.043,0.0,3.0
2023-01-02,54.6,40.6,0.035,0.0,4.0
2023-01-03,55.5,44.8,0.461,0.0,9.0
2023-01-04,64.0,51.1,0.083,0.0,4.0
2023-01-05,55.5,44.8,0.0,0.0,0.0
2023-01-06,46.9,36.7,0.311,0.0,13.0
2023-01-07,46.6,32.6,0.0,0.0,0.0
2023-01-08,39.7,28.1,0.0,0.0,0.0
2023-01-09,44.7,33.3,0.067,0.22,5.0
2023-01-10,43.3,32.8,0.0,0.0,0.0
2023-01-11,38.1,29.5,0.0,0.0,0.0
2023-01-12,51.4,31.1,0.433,0.0,14.0
2023-01-13,55.0,37.3,0.079,0.0,11.0
2023-01-14,36.9,29.5,0.0,0.0,0.0
2023-01-15,40.6,28.5,0.0,0.0,0.0
2023-01-16,46.7,27.4,0.0,0.0,0.0
2023-01-17,45.0,28.0,0.035,0.0,2.0
2023-01-18,51.0,37.3,0.012,0.0,2.0
2023-01-19,41.6,37.0,0.681,0.0,16.0
2023-01-20,47.4,35.4,0.004,0.0,1.0
2023-01-21,42.9,27.3,0.004,0.0,1.0
2023-01-22,41.7,25.4,0.272,0.0,6.0
2023-01-23,37.3,32.4,0.587,0.276,19.0
2023-01-24,45.6,29.9,0.0,0.0,0.0
2023-01-25,52.4,27.6,0.811,0.551,11.0
2023-01-26,53.4,36.3,0.48,0.0,6.0
2023-01-27,43.0,29.3,0.0,0.0,0.0
2023-01-28,51.1,30.4,0.0,0.0,0.0
2023-01-29,50.5,31.9,0.0,0.0,0.0
2023-01-30,52.6,37.0,0.0,0.0,0.0
2023-01-31,43.7,31.3,0.098,0.165,8.0
2023-02-01,37.2,26.0,0.071,0.496,5.0
2023-02-02,39.0,24.1,0.0,0.0,0.0
2023-02-03,32.6,11.2,0.0,0.0,0.0
2023-02-04,24.7,1.6,0.0,0.0,0.0
2023-02-05,47.9,23.5,0.0,0.0,0.0
2023-02-06,49.8,30.1,0.0,0.0,0.0
2023-02-07,38.4,24.2,0.122,0.165,3.0
2023-02-08,50.3,33.6,0.0,0.0,0.0
2023-02-09,51.3,28.0,0.0,0.0,0.0
2023-02-10,56.5,42.2,0.0,0.0,0.0
2023-02-11,44.1,31.5,0.0,0.0,0.0
2023-02-12,44.4,29.5,0.043,0.22,2.0
2023-02-13,55.1,35.9,0.008,0.0,2.0
2023-02-14,51.9,36.4,0.0,0.0,0.0
2023-02-15,62.0,37.9,0.0,0.0,0.0
2023-02-16,66.7,48.6,0.114,0.0,3.0
2023-02-17,59.6,29.9,0.272,0.055,9.0
2023-02-18,42.3,26.8,0.0,0.0,0.0
2023-02-19,46.6,31.4,0.059,0.0,1.0
2023-02-20,59.1,41.7,0.0,0.0,0.0
2023-02-21,46.1,34.6,0.213,0.0,8.0
2023-02-22,41.9,31.1,0.181,0.165,10.0
2023-02-23,45.0,36.4,0.028,0.0,2.0
2023-02-24,44.6,26.0,0.0,0.0,0.0
2023-02-25,31.9,21.7,0.031,0.22,6.0
2023-02-26,49.9,24.6,0.0,0.0,0.0
2023-02-27,41.1,27.6,0.189,1.295,5.0
2023-02-28,35.9,31.0,0.457,2.591,17.0
2023-03-01,42.6,27.5,0.106,0.579,3.0
2023-03-02,56.5,36.0,0.063,0.0,4.0
2023-03-03,45.4,29.0,0.154,0.0,5.0
2023-03-04,43.2,37.2,1.555,0.0,10.0
2023-03-05,53.5,31.4,0.0,0.0,0.0
2023-03-06,50.1,34.5,0.0,0.0,0.0
2023-03-07,45.1,32.7,0.087,0.606,6.0
2023-03-08,47.7,28.0,0.0,0.0,0.0
2023-03-09,50.7,30.9,0.0,0.0,0.0
2023-03-10,45.2,29.2,0.378,0.0,7.0
2023-03-11,44.6,34.8,0.425,0.524,13.0
